candidate_id,name,surname,parti,annonce_candidature,retrait_candidature,second_round
EP,Edouard,Philippe,,,,
JB,Jordan,Bardella,Rassemblement National,,,
MLP,Marine,Le Pen,Rassemblement National,,,
RG,Raphaël,Glucksmann,,,,
FH,François,Hollande,Parti Socialiste,,,
FR,François,Ruffin,La France Insoumise,,,
NS,Nicolas,Sarkozy,Les Républicains,,,
FRo,Fabien,Roussel,Parti Communiste Français,,,
GD,Gérald,Darmanin,,,,
BLM,Bruno,Le Maire,,,,
DV,Dominique,de Villepin,,,,
FB,François,Bayrou,Mouvement Démocrate,,,
MM,Marion,Maréchal,,,,
XB,Xavier,Bertrand,Les Républicains,,,
EDM,Eric,Dupond-Moretti,,,,
OF,Olivier,Faure,Parti Socialiste,,,
RD,Rachida,Dati,Les Républicains,,,
EC,Eric,Ciotti,Les Républicains,,,
BC,Bernard,Cazeneuve,Parti Socialiste,,,
GL,Gérard,Larcher,Les Républicains,,,
YJ,Yannick,Jadot,Europe Écologie Les Verts,,,
MT,Marine,Tondelier,Europe Écologie Les Verts,,,
LW,Laurent,Wauquiez,Les Républicains,,,
LB,Laurent,Berger,,,,
YBP,Yaël,Braun-Pivet,,,,
CA,Clémentine,Autain,La France Insoumise,,,
JLM,Jean-Luc,Mélenchon,La France Insoumise,,,
JYLD,Jean-Yves,Le Drian,,,,
SR,Sandrine,Rousseau,Europe Écologie Les Verts,,,
EZ,Eric,Zemmour,,,,
MB,Manuel,Bompard,La France Insoumise,,,
MBa,Michel,Barnier,Les Républicains,,,
AH,Anne,Hidalgo,Parti Socialiste,,,
MP,Mathilde,Panot,La France Insoumise,,,
AOC,Amélie,Oudéa-Castéra,,,,
GA,Gabriel,Attal,La République En Marche,,,
BR,Bruno,Retailleau,Les Républicains,,,
DL,David,Lisnard,Les Républicains,,,
JC,Jean,Castex,Les Républicains,,,
CV,Catherine,Vautrin,,,,
SL,Sébastien,Lecornu,Les Républicains,,,
VP,Valérie,Pécresse,Les Républicains,,,
EB,Elisabeth,Borne,La République En Marche,,,
EL,Eric,Lombard,,,,
BV,Boris,Vallaud,Parti Socialiste,,,
MV,Manuel,Valls,,,,
AdM,Amélie,de Montchalin,,,,
AB,Aurore,Bergé,La République En Marche,,,
SK,Sarah,Knafo,,,,
NDA,Nicolas,Dupont-Aignan,,,,
FRe,François, Rebsamen,,,,